编号,课件名称,授课人,职务,课时(分),格式,课程简介,制作时间
"NGC17I3124125_2412","做好情绪管理，保持心态稳定","陈炳才","中央党校（国家行政学院）研究员",37,"专家讲授精制视频","情绪管理是现代生活中的重要技能，它能帮助我们更好地适应环境、提高生活质量。有效的情绪管理包括认识、表达、调节和应对情绪等方面，对于维护心理健康、提高人际关系、提高工作效率和增强心理素质都具有重要意义。要实现有效的情绪管理，我们需要不断地学习和实践情绪管理的方法，努力提高自己的情绪管理能力。本课程由中央党校（国家行政学院）研究员陈炳才主讲，主要内容有：认识和了解情绪；如何管控情绪。",2024.12
"NGC17I3224125_2412","积极应对压力，做好压力疏导","陈炳才","中央党校（国家行政学院）研究员",38,"专家讲授精制视频","现代社会充满了各种竞争和压力，每个人都可能面临着来自工作、学业、家庭以及人际关系等方面的压力。心理健康是一个人身心和谐发展的基础，对个体的发展和幸福感具有重要影响。心理疏导可以帮助人们更好地了解自己，认识自己的优势和不足，明确目标和价值观，提高自我认知和心理适应能力，进而促进心理健康的发展。本课程由中央党校（国家行政学院）研究员陈炳才主讲，主要内容有：源自家庭的压力疏导；源自单位的压力疏导；压力疏导方法：深呼吸、逆腹呼吸式。",2024.12
"NGC17I3324125_2412","情绪管理和压力疏导的基本功","陈炳才","中央党校（国家行政学院）研究员",43,"专家讲授精制视频","情绪管理与压力疏导是一种帮助人们处理情绪和压力的技巧，是缓解心理压力、促进心理健康、改善人际关系、提高工作效率和预防心理问题的重要手段。在当今快节奏、高压力的社会中，越来越多的人意识到心理健康的重要性，而心理疏导正是帮助人们达到自我平衡和情绪调节的重要方式。本课程由中央党校（国家行政学院）研究员陈炳才主讲，主要内容有：树立正念和正行；常怀感恩、自重之心；经得起各种考验；利民亲民，向上向善。",2024.12
"NGC17N3424125_2412","人文视野中的书法艺术（上）","沈建平","中国社会科学院大学文学院党委书记、副研究员",40,"专家讲授精制视频","书法是是中国汉字特有的一种传统艺术，中国文字美的艺术表现形式，是中国传统文化艺术发展五千年来最具有经典标志的民族符号，是中华优秀传统文化的重要组成部分。书法伴随着历史的发展而演进，从早期的甲骨文到篆书、隶书、楷书、草书、行书等，书法不仅是文字的书写，还与文学、历史、美学等艺术相结合，承载着传统文化和民族精神‌。本课程由中国社会科学院大学文学院党委书记、副研究员沈建平主讲，主要内容有：书法在中国传统文化中的地位；文字与书法；人文视野中的中国书法。",2024.12
"NGC17N3524125_2412","人文视野中的书法艺术（下）","沈建平","中国社会科学院大学文学院党委书记、副研究员",32,"专家讲授精制视频","书法是是中国汉字特有的一种传统艺术，中国文字美的艺术表现形式，是中国传统文化艺术发展五千年来最具有经典标志的民族符号，是中华优秀传统文化的重要组成部分。书法伴随着历史的发展而演进，从早期的甲骨文到篆书、隶书、楷书、草书、行书等，书法不仅是文字的书写，还与文学、历史、美学等艺术相结合，承载着传统文化和民族精神‌。本课程由中国社会科学院大学文学院党委书记、副研究员沈建平主讲，主要内容有：人文视野中的中国书法。",2024.12
"NGC17I3624125_2412","建设社会主义文化强国","冯留建","北京师范大学中共党史党建研究院副院长、北京师范大学京师特聘教授",38,"专家讲授精制视频","一个国家、一个民族的强盛，总是以文化兴盛为支撑的，中华民族伟大复兴需要以中华文化发展繁荣为条件。习近平总书记指出：“文化是一个国家、一个民族的灵魂。文化兴国运兴，文化强民族强。”新时代新征程，我们要从强国建设、民族复兴的战略高度，着眼赓续中华文脉、推动文化繁荣的重大使命，深刻认识聚焦建设社会主义文化强国的重大意义。本课程由北京师范大学中共党史党建研究院副院长、北京师范大学京师特聘教授冯留建主讲，主要内容有：为什么建设中国特色社会主义文化；为什么要坚持马克思主义在意识形态领域指导地位的根本制度。",2024.12
"NGC17I3724125_2412","如何提升国家文化软实力和中华文化影响力","冯留建","北京师范大学中共党史党建研究院副院长、北京师范大学京师特聘教授",29,"专家讲授精制视频","一个国家、一个民族的兴衰与自身的文化密切相关。在漫长的历史长河中，中华文化为中华民族生生不息、发展壮大提供了丰厚的滋养。中国之所以能够在人类发展史上曾经长期处于领先地位，离不开中华文化的影响力。当前和今后一个时期是以中国式现代化全面推进强国建设、民族复兴伟业的关键时期，我们不仅需要高度发达的物质文明，也需要高度繁荣的精神文明。只有加快建设社会主义文化强国，才能全面建成社会主义现代化强国、全面推进中华民族伟大复兴。本课程由北京师范大学中共党史党建研究院副院长、北京师范大学京师特聘教授冯留建主讲，主要内容有：为什么要用社会主义核心价值观凝心聚力；如何提升国家文化软实力和中华文化影响力。",2024.12
"NGC17I1825015_2501","科学家精神的时代价值","冯留建","北京师范大学中共党史党建研究院副院长、北京师范大学京师特聘教授",31,"专家讲授精制视频","科学家精神是科学精神和科学文化在科学家群体中的集中体现，具有科学性、民族性和时代性。当前，世界百年未有之大变局加速演进，新一轮科技革命和产业变革深入发展，中国要在新的历史起点上建设科技强国，以科技现代化助推中国式现代化，更加需要培育创新文化，弘扬科学家精神，涵养优良学风，营造创新氛围。本课程由北京师范大学中共党史党建研究院副院长、北京师范大学京师特聘教授冯留建主讲，主要内容有：从科学精神到科学家精神；科学家精神的时代价值。",2025.1
"NGC17I1925015_2501","科学家精神的中国特色","冯留建","北京师范大学中共党史党建研究院副院长、北京师范大学京师特聘教授",25,"专家讲授精制视频","科学家精神植根于科学家的科学实践，是科学精神和科学文化在科学家群体中的集中体现。100年来，一代代中国科学家和科技工作者树立起一座座科技创新丰碑，同时铸就了独特的中国科学家精神气质，科学家精神在中国站起来、富起来和强起来的历史进程中不断丰富和拓展，成为中国共产党精神谱系和中国精神的重要组成部分。未来，在强国建设、民族复兴的新征程中，广大科技工作者肩负以科技现代化助推中国式现代化的使命任务，必将谱写铸就新的科学文化和科学精神篇章，必将汇聚起强国建设、民族复兴的磅礴精神力量。本课程由北京师范大学中共党史党建研究院副院长、北京师范大学京师特聘教授冯留建主讲，主要内容有：科学家精神的发展形成过程；大力弘扬新时代科学家精神。",2025.1
"NGC17I1425025_2502","传统文化与官德修养","陈炳才","中央党校（国家行政学院）研究员",43,"专家讲授精制视频","国无德不兴，人无德不立。提高道德修养是新时代为人做事的基本要求和准则。以德修身、以德立威、以德服众，是干部成长成才的重要因素。我国有优秀的道德修养传统文化，其中有值得领导干部重视的官德政德修养。本课程由中央党校（国家行政学院）研究员陈炳才主讲，主要内容有：道德修养是为人修身之本；值得重视的官德政德修养。",2025.2
"NGC17I1525025_2502","为政为官以德以正","陈炳才","中央党校（国家行政学院）研究员",31,"专家讲授精制视频","中华民族在政治治理中重视“德”的作用由来已久。“为政以德”是中华传统政治思想的重要内容。“正”是干部修炼官德的首要要求，为官当以“正”为先。领导干部要弘扬“为政以德”的文化传统，弘扬“正”之气，最终修成为官正果。本课程由中央党校（国家行政学院）研究员陈炳才主讲，主要内容有：做到德位、功禄、官位相配；常修政德、官德；为官为政要正，以正为政；要劝爱禁奸恶，向善；善于纳谏，集中群众智慧；以人为本，不轻践他人；加强品德修养。",2025.2
"NGC17I1625025_2502","加强官德政德修养","陈炳才","中央党校（国家行政学院）研究员",40,"专家讲授精制视频","做官先做人，做官须有官德，做人德为先，从政先立德。官德政德修养是领导干部综合素养的体现。领导干部要把官德政德修养作为人生的必修课。本课程由中央党校（国家行政学院）研究员陈炳才主讲，主要内容有：诚实守信，依法办事；善识善用人才；过得了权力关、金钱关、美色关。",2025.2
"NGC17N1725025_2502","森林产品设计对人体健康的作用","程小琴","北京林业大学教授",29,"专家讲授精制视频","目前，随着我国民众亚健康及人口老龄化等问题日益严重，人们对回归自然生活的愿望日益迫切。森林康养作为森林生态和服务价值的一种新发现，完美诠释着优良生态环境带来的巨大发展优势，提供更好更丰富的优质生态产品，满足人民日益增长的美好生活需要，让人们在绿水青山中共享自然之美、生命之美、生活之美。发展森林康养产业、开发森林康养产品可促进现代人健康生活质量的提高，起到预防和治疗疾病的作用。本课程由北京林业大学教授程小琴主讲，主要内容有：人类对森林利用的形式；森林产品设计对人体健康的作用。",2025.2
"NGC17N1825025_2502","森林利用对人体健康作用的机理","程小琴","北京林业大学教授",40,"专家讲授精制视频","人类健康与森林的联系可能远远超出你的想象。无论是生活在与森林生态系统息息相关的人，还是生活在城市等远离森林的人，森林都能以直接或间接的方式给人类健康带来重要的积极影响。森林的康养功能，是多种因素共同作用的结果，在森林中活动能够帮助人体调节自律神经和内分泌，能提升免疫功能，减轻疼痛感，增强活力，增强体能。本课程由北京林业大学教授程小琴主讲，主要内容有：动力定型理论；压力缓解理论；注意力恢复理论。",2025.2
"NGC17N1925025_2502","森林利用与人类健康的完美融合","程小琴","北京林业大学教授",36,"专家讲授精制视频","人类源于自然，依赖自然。人类的生存和发展与森林密不可分，人类的健康维系需要森林。在森林中的运动、游憩、疗养等森林康养活动，对调理人类身心健康、改善身体状态、防治慢性病都有作用。到森林去寻找健康生活，真正实现人与自然和谐共生，成为人类生存与发展的迫切期待。本课程由北京林业大学教授程小琴主讲，主要内容有：亲生物假说；绿色基因假说；环境助益性三角形理论。",2025.2
"NGC17I2825065_2506","青年干部的心理调适（上）","琚晓燕","中央团校党的群众工作教研部副教授、心理学博士",43,"专家讲授精制视频","党中央高度重视干部心理健康工作。习近平总书记指出，要切实关注基层干部的心理健康问题，重视心理科学的应用，创新党建工作方式。《关于加强心理健康服务的指导意见》明确要求，要把心理健康教育作为各级各类领导干部教育培训的重要内容，把良好的心理素质作为衡量干部综合能力的重要方面，全面提升党员领导干部的心理素质。作为领导干部，随着工作形势、任务和要求的改变，提高相应的心理调适能力，才能更好地维护自身的心理健康。本课程由中央团校党的群众工作教研部副教授、心理学博士琚晓燕主讲，主要内容是：青年干部的六大心理失衡点；心理失衡一定是坏事吗；自我状态的觉察与调适；认知模式的检视与调整。",2025.6
"NGC17I2925065_2506","青年干部的心理调适（下）","琚晓燕","中央团校党的群众工作教研部副教授、心理学博士",47,"专家讲授精制视频","党中央高度重视干部心理健康工作。习近平总书记指出，要切实关注基层干部的心理健康问题，重视心理科学的应用，创新党建工作方式。《关于加强心理健康服务的指导意见》明确要求，要把心理健康教育作为各级各类领导干部教育培训的重要内容，把良好的心理素质作为衡量干部综合能力的重要方面，全面提升党员领导干部的心理素质。作为领导干部，随着工作形势、任务和要求的改变，提高相应的心理调适能力，才能更好地维护自身的心理健康。本课程由中央团校党的群众工作教研部副教授、心理学博士琚晓燕主讲，主要内容是：心理需求的检视与调整；工作动机的检视与调整；自我价值的检视与调整；坚定理想信念，不断进行精神上的自我革命；负面情绪的调节与管理。",2025.6
"NGC17I1425105_2510","铭记历史 珍爱和平——纪念中国人民抗日战争暨世界反法西斯战争胜利80周年","郇雷","中央党校（国家行政学院）科学社会主义教研部教授",40,"专家讲授精制视频","80年前，历经14年浴血奋战的中国人民终于迎来民族解放的曙光，世界反法西斯战争的硝烟在正义的旗帜下渐渐消散。这场胜利，是中华民族近代以来反抗外来侵略的首次完全胜利，更是人类文明战胜野蛮、光明驱散黑暗的不朽丰碑。在纪念抗战暨反法西斯战争胜利80周年之际，学习二战及日本侵华战争起因意义深远。这能还原历史真相，明晰二战是法西斯扩张与绥靖政策催化的恶果，认清日本侵华是其“大陆政策”与资源掠夺需求的必然，驳斥历史修正主义谎言。更能以史为鉴警惕霸权主义与极端思想，坚定维护以联合国为核心的国际秩序。本课程由中央党校（国家行政学院）科学社会主义教研部教授郇雷主讲，主要内容有：第二次世界大战的起因；日本发动侵华战争的原因。",2025.10
"NGC17I1525105_2510","中国人民抗日战争的东方主战场地位","郇雷","中央党校（国家行政学院）科学社会主义教研部教授",38,"专家讲授精制视频","中国的抗战，是世界反法西斯战争的东方主战场。自1931年九一八事变起，中国人民便在世界上首举反法西斯旗帜，以游击战争等创新形式开启了艰苦卓绝的抵抗。作为最早倡导并推动反法西斯联盟建立的国家之一，中国以持续的抗争赢得世界尊重，跻身反法西斯四强，参与创建联合国、世界银行等战后国际体系，为弱小国家发声，奠定了现代国际秩序的重要基础。站在新的历史节点，伟大抗战精神依然是强国建设的动力源泉。正如习近平总书记指出，这场胜利是以爱国主义为核心的民族精神的伟大胜利。传承这份精神，就要坚持党的领导这一“中流砥柱”，发扬敢于斗争的坚韧品格，捍卫来之不易的和平正义。本课程由中央党校（国家行政学院）科学社会主义教研部教授郇雷主讲，主要内容有：世界反法西斯同盟的形成过程；中国人民抗日战争的东方主战场地位；中国人民抗日战争对世界反法西斯战争的重大贡献；中国人民抗日战争留给我们的宝贵启示。",2025.10
"GC18I3714125_1501","技术的本质和认识的方法","郝栋","中共中央党校哲学部讲师",55,"精品三分屏","本课程由中共中央党校哲学部讲师郝栋主讲，主要内容包括：一、技术的本质；二、技术的认识方法；三、技术研发与自主创新。",2014.11
"GC18I3814125_1501","创新时代与创造性思维","郝栋","中共中央党校哲学部讲师",56,"精品三分屏","本课程由中央党校哲学教研部哲学博士郝栋主讲，主要内容有：一、创新时代的本质特征；二、创新时代的思维范式——创造性思维。",2014.12
"GC18I3514125_1503","提高自主创新能力问题研究","郭兆晖","中共中央党校经济学部讲师",56,"精品三分屏","本课程由中共中央党校经济学部讲师郭兆晖主讲，主要内容包括：一、创新驱动发展战略：理论认识与实践选择；二、创新驱动发展战略：现实基础；三、实施创新驱动发展战略：路径与着力点。",2014.12.28
"GC18A3614121_1503","我国事业单位绩效管理制度改革（上）","李克实","中国人才研究会副会长",60,"精品三分屏","本课程是《我国事业单位绩效管理制度改革》系列课程的上部，由中国人才研究会副会长李克实主讲，主要内容包括：一、事业单位改革基本问题；二、事业单位法人治理结构改革；三、事业单位用人制度改革。",2014.9
"GC18A3714121_1503","我国事业单位绩效管理制度改革（下）","李克实","中国人才研究会副会长",58,"精品三分屏","本课程是《我国事业单位绩效管理制度改革》系列课程的下部，由中国人才研究会副会长李克实主讲，主要内容包括：四、事业单位绩效考核改革；五、事业单位绩效分配改革；六、事业单位其他相关改革。",2014.9
"GC18A3814121_1503","中国公务员制度发展之路（上）","李克实","中国人事科学研究院原副院长",66,"精品三分屏","本课程是《中国公务员制度发展之路》系列课程的上半部分，由中国人事科学研究院原副院长李克实主讲，围绕“中国公务员制度建立和成效”这一话题，重点对以下内容进行了解读：中国建立公务员制度的起因；中国公务员制度与西方公务员制度的不同；中国公务员制度发展成就。",2014.9.28
"GC18A3914121_1503","中国公务员制度发展之路（下）","李克实","中国人事科学研究院原副院长",60,"精品三分屏","本课程是《中国公务员制度发展之路》系列课程的下半部分，由中国人事科学研究院原副院长李克实主讲，主要内容有：公务员制度发展问题的探讨；公务员制度发展前景和展望。",2014.9.28
"GC18A2915041_1506","人力资本价值管理时代与薪酬管理","彭剑锋","中国人民大学教授",32,"精品三分屏","本课程由中国人民大学彭剑锋教授主讲，主要内容包括：一、人力资本价值与客户价值优先；二、激活人的价值创造；三、建立分层分类的价值评价机制；四、以价值创造者为本；五、价值创造的计量化管理；六、提升人力资源体验价值；七、对员工的价值贡献全面认可与激励；八、跨界思维与无边界管理。",2014.12.10
"GC18A4115091_1510","公文的基本概念","李克实","中国人才研究会副会长",52,"精品三分屏","本课程由中国人才研究会副会长李克实主讲，主要内容有：一、公文定义；二、公文种类；三、公文分类；四、公文处理原则。",2015.4.27
"GC18A2515091_1511","公文写作方法","李克实","中国人才研究会副会长",61,"精品三分屏","本课程由中国人才研究会副会长李克实主讲，主要内容有：一、公文准备阶段；二、公文起草阶段；三、公文修改阶段。",2015.4.27
"GC18A2615091_1511","公文格式流程","李克实","中国人才研究会副会长",47,"精品三分屏","本课程由中国人才研究会副会长李克实主讲，主要内容有：一、公文要素格式；二、公文办文流程。",2015.4.27
"GC18A2715091_1511","事业单位改革破题（上）","高小平","中国行政管理学会执行副会长兼秘书长",46,"精品三分屏","本课程是《事业单位改革破题》系列课程的上半部分，由中国行政管理学会执行副会长兼秘书长高小平主讲，主要内容有：一、事业单位基本情况；二、事业单位改革进程；三、事业单位改革难点分析。",2015.6.10
"GC18A2815091_1511","事业单位改革破题（下）","高小平","中国行政管理学会执行副会长兼秘书长",58,"精品三分屏","本课程是《事业单位改革破题》系列课程的下半部分，由中国行政管理学会执行副会长兼秘书长高小平主讲，围绕“如何破题事业单位改革”这一话题，重点对以下内容进行了解读：十八届三中全会对事业单位改革的要求；事业单位改革重点工作；分类推进事业单位改革的目标；公立医院改革。",2015.6.10
"GC18A2916095_1612","公务员的职业精神修炼（上）","任文硕","中国人事科学研究院公务员管理研究室副主任",45,"精品三分屏","本课程是《公务员的职业精神修炼》系列课程的上部，由中国人事科学研究院公务员管理研究室副主任任文硕主讲，主要内容包括：一、公务员职业精神的相关文件；二、公务员职业精神的介绍。",2016.9
"GC18A3016095_1612","公务员的职业精神修炼（下）","任文硕","中国人事科学研究院公务员管理研究室副主任",59,"精品三分屏","本课程是《公务员的职业精神修炼》系列课程的下部，由中国人事科学研究院公务员管理研究室副主任任文硕主讲，主要内容包括：二、公务员职业精神的介绍；三、公务员职业精神国外借鉴；四、公务员职业精神的行为修炼。",2016.9
"GC18A3716115_1701","应对与化解突发事件公众心理恐慌的对策（上）","游志斌","国家行政学院应急管理教研部副教授",51,"精品三分屏","本课程是《应对与化解突发事件公众心理恐慌的对策》系列课程的上半部分，由国家行政学院应急管理教研部副教授游志斌主讲，主要内容有：一、突发事件公众心理恐慌的典型案例与问题；二、公众心理恐慌的原因及其分析。",2016.11
"GC18A3816115_1701","应对与化解突发事件公众心理恐慌的对策（下）","游志斌","国家行政学院应急管理教研部副教授",52,"精品三分屏","本课程是《应对与化解突发事件公众心理恐慌的对策》系列课程的下半部分，由国家行政学院应急管理教研部副教授游志斌主讲，主要内容有：公众心理恐慌的原因及其分析；化解公众心理恐慌的对策与措施。",2016.11
"GC18A3916115_1701","基于胜任力的培训需求分析及其应用（上）","徐斌","首都经贸大学人才发展系主任、教授",48,"精品三分屏","本课程是《基于胜任力的培训需求分析及其应用》系列课程的上半部分，由首都经贸大学人才发展系主任、教授徐斌主讲，主要内容有：一、什么是胜任力；二、胜任能力的确认。",2016.11
"GC18A4016115_1701","基于胜任力的培训需求分析及其应用（下）","徐斌","首都经贸大学人才发展系主任、教授",57,"精品三分屏","本课程是《基于胜任力的培训需求分析及其应用》系列课程的下半部分，由首都经贸大学人才发展系主任、教授徐斌主讲，主要内容有：有关培训体系的设计、发展变化及应用；胜任力与培训的对应关系。",2016.11
"GC18A2917015_1702","现代培训理念与方法（上）","张林芬","国家行政学院进修部副主任、教授",59,"精品三分屏","本课程是《现代培训理念与方法》系列课程的上半部分，由国家行政学院进修部副主任张林芬教授主讲，主要内容有：怎么通过培训落实需求；设计方案流程；传统研讨与结构化研讨；结构化研讨。",2017.1
"GC18A3017015_1702","现代培训理念与方法（下）","张林芬","国家行政学院进修部副主任、教授",65,"精品三分屏","本课程是《现代培训理念与方法》系列课程的下半部分，由国家行政学院进修部副主任张林芬教授主讲，主要内容有：符合成人学习特点是培训的出发点；实施方法决定培训效果。",2017.1
"GC18A3218065_1808","新闻评论是舆论宣传最锋利的武器","洪琳","中央电视台特约评论员",34,"精品三分屏","本课程由中央电视台特约评论员洪琳主讲，主要内容包括：一、新闻舆论越来越重要；二、新闻评论的重要性。",2018.6
"GC18A3318065_1808","新闻评论的技巧与误区","洪琳","中央电视台特约评论员",37,"精品三分屏","本课程由中央电视台特约评论员洪琳主讲，主要内容包括：一、新闻评论的基本方法与技巧；二、评论的常见误区；三、如何破解西方式的表达。",2018.6
"GC18A3818065_1809","让中国声音成为世界的主流","洪琳","中央电视台特约评论员",32,"精品三分屏","本课程由中央电视台特约评论员洪琳主讲，主要内容包括：一、从中国之声看媒体供给侧改革；二、考验中国之声的事件；三、要学会评论；四、评论员的素质要求；五、讲好中国故事。",2018.6
"GC18A3918065_1809","如何做好全媒体传播环境下的新闻评论","洪琳","中央电视台特约评论员",35,"精品三分屏","本课程由中央电视台特约评论员洪琳主讲，主要内容包括：一、新闻评论难做的原因；二、传播环境的特点；三、掌握四个事实的关系；四、把握评论的距离感。",2018.6
"GC18A0719125_2001","高强度工作环境下的心理疏导（上）","卢敏","中国科学院心理研究所国家公务员心理健康应用研究中心副主任",38,"精品三分屏","本课程是《高强度工作环境下的心理疏导》系列课程的上部，由中国科学院心理研究所国家公务员心理健康应用研究中心副主任卢敏主讲，主要内容包括：一、心理健康重在预防；二、压力管理的重要性；三、压力管理的方法。",2019.12
"GC18A0819125_2001","高强度工作环境下的心理疏导（中）","卢敏","中国科学院心理研究所国家公务员心理健康应用研究中心副主任",39,"精品三分屏","本课程是《高强度工作环境下的心理疏导》系列课程的中部，由中国科学院心理研究所国家公务员心理健康应用研究中心副主任卢敏主讲，围绕着“压力管理的方法”这一话题，主要讲述了以下内容：认知调整；基于价值解决问题。",2019.12
"GC18A0919125_2001","高强度工作环境下的心理疏导（下）","卢敏","中国科学院心理研究所国家公务员心理健康应用研究中心副主任",35,"精品三分屏","本课程是《高强度工作环境下的心理疏导》系列课程的下部，由中国科学院心理研究所国家公务员心理健康应用研究中心副主任卢敏主讲，主要内容包括：三、压力管理的方法；四、总结。",2019.12
"GC18N1320075_2008","项目投资决策分析（上）","王在全","北京大学中国民营企业研究所所长",38,"精品三分屏","本课程是《项目投资决策分析》系列课程的上部，由北京大学中国民营企业研究所所长王在全主讲，主要内容包括：一、投资项目评估的基本步骤；二、项目投资收益的基本评价方法。",2020.7
"GC18N1420075_2008","项目投资决策分析（下）","王在全","北京大学中国民营企业研究所所长",43,"精品三分屏","本课程是《项目投资决策分析》系列课程的下部，由北京大学中国民营企业研究所所长王在全主讲，主要内容包括：二、项目投资收益的基本评价方法；三、企业投资风险的分析工具。",2020.7
"GC18N1420085_2009","财务报表分析和营运资金管理（上）","王在全","北京大学中国民营企业研究所所长",30,"精品三分屏","本课程是《财务报表分析和营运资金管理》系列课程的上部，由北京大学中国民营企业研究所所长王在全主讲，围绕着“财务报表分析”这一主题，主要讲解了以下内容：资产负债表；利润表；现金流量表。",2020.8
"GC18N1520085_2009","财务报表分析和营运资金管理（下）","王在全","北京大学中国民营企业研究所所长",27,"精品三分屏","本课程是《财务报表分析和营运资金管理》系列课程的下部，由北京大学中国民营企业研究所所长王在全主讲，主要内容包括：二、财务指标分析；三、营运资金管理。",2020.8
"NGC18I1821015_2102","新时代专业技术人员提升新理念素养的必然要求（上）","马亮","中国人民大学公共管理学院行政管理系副教授",51,"专家讲授精制视频","本课程是《新时代专业技术人员提升新理念素养的必然要求》系列课程的上半部分，由中国人民大学公共管理学院行政管理系副教授马亮主讲，主要内容有：新时代专业技术人员为什么要提升新理念素养。",2021.02
"NGC18I1921015_2102","新时代专业技术人员提升新理念素养的必然要求（中）","马亮","中国人民大学公共管理学院行政管理系副教授",41,"专家讲授精制视频","本课程是《新时代专业技术人员提升新理念素养的必然要求》系列课程的第二部分，由中国人民大学公共管理学院行政管理系副教授马亮主讲，主要内容有：专业技术人员的数字化转型：适者生存，不进则退。",2021.02
"NGC18I2021015_2102","新时代专业技术人员提升新理念素养的必然要求（下）","马亮","中国人民大学公共管理学院行政管理系副教授",58,"专家讲授精制视频","本课程是《新时代专业技术人员提升新理念素养的必然要求》系列课程的下部分，由中国人民大学公共管理学院行政管理系副教授马亮主讲，主要内容有：知识更新换代与终身学习；专业技术人员要成为T型人才；新生代员工、代沟、代际冲突、代际战争与代际管理；不同层级的领导能力与胜任力：专业技术人员的职业阶梯；专业技术人员的思想觉悟、道德水准与文明素养。",2021.02
"NGC18I1721055_2106","新时代专业技术人员的新理念新素养及其构成（一）","马亮","中国人民大学公共管理学院行政管理系副教授",34,"专家讲授精制视频","本课程是《新时代专业技术人员的新理念新素养及其构成》系列课程的第一部分，由中国人民大学公共管理学院行政管理系副教授马亮主讲，主要从技术知识与技能的更新换代等方面进行了解读。",2021.5
"NGC18I1821055_2106","新时代专业技术人员的新理念新素养及其构成（二）","马亮","中国人民大学公共管理学院行政管理系副教授",40,"专家讲授精制视频","本课程是《新时代专业技术人员的新理念新素养及其构成》系列课程的第二部分，由中国人民大学公共管理学院行政管理系副教授马亮主讲，主要从专业技术人员的数字化转型、技术+管理、技术+领导等方面进行了解读。",2021.5
"NGC18I1921055_2106","新时代专业技术人员的新理念新素养及其构成（三）","马亮","中国人民大学公共管理学院行政管理系副教授",45,"专家讲授精制视频","本课程是《新时代专业技术人员的新理念新素养及其构成》系列课程的第三部分，由中国人民大学公共管理学院行政管理系副教授马亮主讲，主要从专技人员如何守住法律底线等方面进行了解读。",2021.5
"NGC18I2021055_2106","新时代专业技术人员的新理念新素养及其构成（四）","马亮","中国人民大学公共管理学院行政管理系副教授",36,"专家讲授精制视频","本课程是《新时代专业技术人员的新理念新素养及其构成》系列课程的第四部分，由中国人民大学公共管理学院行政管理系副教授马亮主讲，主要从技术与世界的关系、专技人员的世界观等方面进行了解读。",2021.5
"NGC18I0721065_2107","新时代专技人员新理念素养提升的路径与方略（上）","马亮","中国人民大学公共管理学院行政管理系副教授",27,"专家讲授精制视频","本课程是《新时代专技人员新理念素养提升的路径与方略》系列课程的上半部分，由中国人民大学公共管理学院行政管理系副教授马亮主讲，围绕专业技术人员自身如何提升新理念素养这一话题进行了解读。",2021.6
"NGC18I0821065_2107","新时代专技人员新理念素养提升的路径与方略（下）","马亮","中国人民大学公共管理学院行政管理系副教授",31,"专家讲授精制视频","本课程是《新时代专技人员新理念素养提升的路径与方略》系列课程的下半部分，由中国人民大学公共管理学院行政管理系副教授马亮主讲，围绕专业技术人员所在组织如何提升专技人员新理念素养这一话题进行了解读。",2021.6
"HGC18I1522015_2202","加强经济学知识学习，认识宏观经济分析方法及指标体系","周开疆","商务部研究院特聘教授",38,"精品三分屏","本课程由商务部研究院特聘教授周开疆主讲，主要内容有：一、总量分析法；二、结构分析法；三、趋势分析法；四、国际分析法。",2022.1
"NGC18I3023035_2304","坚持和完善民主决策（上）","张勇","中央党校（国家行政学院）政治和法律教研部教授",32,"专家讲授精制视频","决策是人类社会现象中的普遍现象，不管是个人还是公共组织，不管是社会组织还是国家，都面临着决策问题。民主决策是全过程人民民主的重要一环。在当下，中国的民主决策具有科学的制度体系保障，民主决策蕴含着对决策民主化、科学化和法治化要求。在制度支撑下，民主决策实现了民主与集中、民主与科学、民主程序与决策效率的统一。坚持和完善民主决策，意味着在决策过程中坚持民主理念，深入了解民情、充分反映民意、广泛集中民智。本课程由中央党校（国家行政学院）政治和法律教研部教授张勇主讲，主要内容有：民主决策的历史回顾；民主决策的理论解读。",2023.3
"NGC18I3123035_2304","坚持和完善民主决策（中）","张勇","中央党校（国家行政学院）政治和法律教研部教授",33,"专家讲授精制视频","决策是人类社会现象中的普遍现象，不管是个人还是公共组织，不管是社会组织还是国家，都面临着决策问题。民主决策是全过程人民民主的重要一环。在当下，中国的民主决策具有科学的制度体系保障，民主决策蕴含着对决策民主化、科学化和法治化要求。在制度支撑下，民主决策实现了民主与集中、民主与科学、民主程序与决策效率的统一。坚持和完善民主决策，意味着在决策过程中坚持民主理念，深入了解民情、充分反映民意、广泛集中民智。本课程由中央党校（国家行政学院）政治和法律教研部教授张勇主讲，主要内容有：民主决策的理论解读；民主决策的现实问题。",2023.3
"NGC18I3223035_2304","坚持和完善民主决策（下）","张勇","中央党校（国家行政学院）政治和法律教研部教授",28,"专家讲授精制视频","决策是人类社会现象中的普遍现象，不管是个人还是公共组织，不管是社会组织还是国家，都面临着决策问题。民主决策是全过程人民民主的重要一环。在当下，中国的民主决策具有科学的制度体系保障，民主决策蕴含着对决策民主化、科学化和法治化要求。在制度支撑下，民主决策实现了民主与集中、民主与科学、民主程序与决策效率的统一。坚持和完善民主决策，意味着在决策过程中坚持民主理念，深入了解民情、充分反映民意、广泛集中民智。本课程由中央党校（国家行政学院）政治和法律教研部教授张勇主讲，主要内容有：对民主决策现实问题的理解；如何引导和组织公众参与决策。",2023.3
